id,CODIGO_SEC,SECTO1_1993,SECTO2_1993,SECTO3_1993,SECTO4_1993,SECTO5_1993,SECTO6_1993,SECTO1_2005,SECTO2_2005,SECTO3_2005,SECTO4_2005,SECTO5_2005,SECTO6_2005
239,1100114402,31,58,282,956,731,360,9,113,571,1354,950,329
240,1100114403,67,181,785,1565,945,332,100,356,828,1411,502,132
241,1100114404,54,106,335,446,172,57,25,135,289,610,128,29
242,1100114405,28,63,263,517,248,152,24,147,368,469,205,71
243,1100114406,18,53,188,344,181,83,1,63,182,439,115,0
244,1100114407,158,437,1046,919,319,130,233,433,740,666,299,107
245,1100114408,69,126,363,412,188,95,106,73,480,461,96,45
246,1100114409,93,299,814,1073,422,179,36,396,714,862,284,89
247,1100114410,833,1662,2491,1719,476,209,614,1429,1974,2481,251,0
248,1100114411,299,755,1428,1219,376,145,285,914,1764,1082,240,1
249,1100114412,64,118,510,988,544,259,38,218,652,1397,360,104
250,1100114413,10,36,108,275,176,70,18,4,110,264,94,58
251,1100114416,51,100,377,563,265,125,0,125,202,454,76,151
252,1100114501,58,75,377,858,646,355,0,144,1125,1753,666,200
253,1100114502,448,998,1469,1178,538,293,657,907,2149,2948,2293,625
254,1100114503,81,160,592,1489,1235,674,2,281,1308,2654,1310,600
255,1100114504,311,767,1643,1818,778,361,299,813,2362,2292,982,417
256,1100114505,229,536,1344,1884,982,502,145,591,2206,1850,940,193
257,1100114506,244,470,796,962,369,145,204,411,511,597,1,166
258,1100114507,157,439,1066,1287,457,256,0,697,1882,1642,287,298
259,1100114508,263,535,1210,1030,337,167,291,538,1371,713,649,274
260,1100114509,41,117,636,2144,1649,786,145,406,960,1490,958,353
261,1100114510,158,385,964,1515,734,401,371,969,1706,2133,418,230
262,1100114511,140,292,884,1380,730,363,345,483,820,1044,449,814
263,1100114512,60,190,592,889,581,257,0,318,655,1039,595,69
264,1100114513,306,383,356,163,37,16,216,646,819,392,71,1
265,1100114514,47,162,976,1880,1024,475,15,841,1365,1922,922,252
266,1100114515,996,1733,2432,1572,465,176,703,2061,2188,2432,566,881
267,1100114516,418,668,788,349,82,28,414,508,1261,805,288,0
268,1100114517,798,1683,2561,2056,592,257,1079,1770,4632,3255,1130,523
269,1100114518,128,362,986,1411,669,250,54,540,1807,4151,1077,492
270,1100114519,767,970,925,370,73,20,1095,2821,2767,1572,437,98
271,1100114520,209,444,531,256,59,44,564,1434,1303,703,0,1
272,1100114521,995,2289,3184,1776,383,143,821,2936,3279,2045,400,275
273,1100114522,378,695,954,597,157,81,372,804,1782,1289,79,193
274,1100114523,641,1433,2077,1294,348,162,802,1112,1952,1800,460,548
275,1100114524,240,624,1031,673,135,67,453,913,1036,1061,260,2
276,1100114525,799,1300,1815,1332,397,211,857,2731,2290,1599,573,125
277,1100114526,1291,1844,1871,802,165,66,3281,5518,6469,2849,568,335
278,1100114527,976,2044,2632,1631,439,115,1458,4725,3914,2996,832,371
279,1100114528,1343,2396,3159,1714,449,252,1012,2638,3502,2259,419,219
280,1100114529,155,498,1138,1001,315,100,348,996,1339,1220,394,153
281,1100114530,63,158,856,1330,565,263,112,97,1355,1488,146,290
282,1100114531,6,12,76,462,529,349,58,5,159,1063,344,356
283,1100114532,456,1080,2454,2617,795,345,279,1376,1978,2256,524,504
284,1100114533,357,865,2018,3386,1802,866,312,1309,1889,3637,941,344
285,1100114534,1239,1874,2210,1031,224,102,2085,2859,4282,2244,904,510
286,1100114535,470,755,831,391,72,22,674,861,1437,748,486,1
287,1100114536,379,867,1153,660,110,50,477,833,1312,400,105,0
288,1100114537,24,50,521,1406,957,354,67,98,728,1247,659,206
289,1100114538,313,343,311,101,14,8,1779,1408,1215,949,805,119
290,1100114539,500,635,615,265,39,17,276,580,299,713,3,1
291,1100114540,36,86,356,598,244,59,0,95,152,197,0,0
292,1100114541,448,515,526,265,57,32,410,1491,2761,1826,665,120
293,1100114542,630,618,416,170,26,12,1354,3188,3709,1619,418,359
294,1100114543,160,120,111,47,13,8,552,398,1102,868,244,40
295,1100114544,29,43,98,74,16,7,114,65,1336,1241,431,245
296,1100114545,545,730,727,295,55,20,1188,1766,3096,1483,330,322
297,1100114546,44,35,32,10,1,3,272,998,5558,4696,1794,859
298,1100114547,661,1077,1194,609,128,38,748,1813,3752,1430,501,204
299,1100114548,0,0,0,0,0,0,39,1539,5073,5024,1302,412
300,1100114549,0,0,0,0,0,0,0,585,387,339,40,44
301,1100115101,40,37,178,519,445,247,37,61,344,920,625,209
302,1100115102,11,18,121,417,512,349,50,71,337,1005,1150,746
303,1100115103,8,20,87,277,251,124,0,22,87,374,202,155
304,1100115104,49,93,161,134,52,37,41,113,71,88,60,63
305,1100115105,26,6,34,211,281,272,0,0,49,221,159,269
306,1100115106,45,48,124,581,823,707,14,44,29,462,547,244
307,1100115107,9,9,48,188,268,242,0,15,97,345,389,408
308,1100115108,6,3,29,205,368,213,15,0,14,467,615,468
309,1100115109,0,0,0,0,0,0,0,0,1,0,0,0
310,1100115110,9,6,31,172,206,171,1,14,110,397,381,205
311,1100115111,3,9,42,386,612,474,14,0,64,516,725,254
312,1100115112,1,1,1,0,0,0,0,0,0,0,0,1
313,1100115113,11,12,70,728,1215,922,0,36,103,532,510,479
314,1100115114,0,0,0,0,0,0,0,0,2,3,0,0
315,1100115115,4,1,1,1,0,0,0,0,20,160,277,197
316,1100115201,180,318,645,716,330,211,307,326,466,583,298,167
317,1100115202,273,343,575,483,215,113,144,286,666,627,161,85
318,1100115203,171,366,647,604,195,121,308,333,804,609,117,139
319,1100115204,206,370,772,808,360,171,254,354,1018,752,455,132
320,1100115205,280,470,712,901,730,366,330,469,821,1055,885,350
321,1100115206,140,314,516,451,150,61,58,196,622,377,142,25
322,1100115301,14,12,45,411,796,837,75,0,0,867,1840,813
323,1100115302,4,2,12,73,167,181,0,0,95,522,410,493
324,1100115303,3,10,24,222,423,425,67,1,127,1,587,355
325,1100115304,7,20,62,418,699,608,27,40,132,768,763,514
326,1100115305,21,51,132,300,240,143,18,82,114,420,253,166
327,1100115306,3,5,18,191,308,199,0,0,45,307,356,142
328,1100115307,50,90,207,725,1151,910,40,111,222,964,1459,818
329,1100115308,188,455,764,758,311,167,336,509,924,790,325,165
330,1100115401,6,11,27,392,756,738,0,0,1,1042,624,688
331,1100115402,103,159,237,391,383,270,114,1,0,789,426,389
332,1100115403,86,166,297,592,903,668,56,0,314,983,1555,775
333,1100115404,496,950,1295,1094,540,325,135,490,939,891,677,218
334,1100115405,482,907,1168,788,252,112,461,832,1388,599,383,98
335,1100115406,97,189,653,1368,879,444,48,328,1380,821,496,279
336,1100115501,62,146,308,460,247,107,45,0,93,277,224,60
337,1100115502,244,812,2080,2625,1012,538,380,1254,2015,1457,809,416
338,1100115503,204,442,1077,1329,705,368,826,322,962,2064,1011,429
339,1100115506,11,15,17,13,2,0,0,46,3,194,0,1
340,1100115507,16,28,99,573,578,425,0,0,213,717,1364,486
341,1100115508,102,171,382,542,298,161,95,0,363,704,587,61
342,1100115509,106,213,508,745,360,169,0,120,823,546,114,50
343,1100115510,92,186,449,548,225,97,0,83,191,260,185,45
344,1100115601,125,167,312,806,751,406,311,402,788,1218,802,398
345,1100115602,25,69,227,582,448,242,2,72,266,1362,417,379
346,1100115603,422,909,1460,1039,290,123,342,990,1614,1102,107,282
347,1100115604,190,415,645,568,217,98,211,675,851,548,222,1
348,1100115605,51,146,385,577,288,155,85,190,989,945,251,437
349,1100115606,38,56,194,890,989,537,0,45,345,988,1705,438
350,1100115607,112,230,668,1111,541,232,67,538,681,1743,545,348
351,1100115608,227,560,1145,995,290,118,165,322,1082,766,164,108
352,1100115609,124,310,912,1059,365,164,156,523,973,1119,273,105
353,1100115610,365,681,1010,646,177,74,112,807,1388,1230,389,216
